Pareto Alpha 1
size,TMFG_Val,TMFG_elapsed,TMFGT1_Val,TMFGT1_elapsed,TMFGT2_K4_Val,TMFGT2_K4_elapsed,PMFG_Val,PMFG_elapsed,UpperBound
200,3.134481,0.812702,3.134474,0.915735,3.134547,0.740256,3.135110,20.113574,3.136666
Pareto Alpha 2
size,TMFG_Val,TMFG_elapsed,TMFGT1_Val,TMFGT1_elapsed,TMFGT2_K4_Val,TMFGT2_K4_elapsed,PMFG_Val,PMFG_elapsed,UpperBound
200,13.575505,0.121387,13.574401,0.811993,13.596151,0.450584,13.883111,19.372542,14.986847
Beta alpha 0.500000 beta 3.000000
size,TMFG_Val,TMFG_elapsed,TMFGT1_Val,TMFGT1_elapsed,TMFGT2_K4_Val,TMFGT2_K4_elapsed,PMFG_Val,PMFG_elapsed,UpperBound
200,359.663365,0.108630,363.958022,0.865912,367.250124,0.498157,386.311373,18.373095,603.193768
Beta alpha 3.000000 beta 0.500000
size,TMFG_Val,TMFG_elapsed,TMFGT1_Val,TMFGT1_elapsed,TMFGT2_K4_Val,TMFGT2_K4_elapsed,PMFG_Val,PMFG_elapsed,UpperBound
200,1176.898206,0.120691,1179.418825,0.873096,1179.142981,0.462296,1128.396566,18.574760,1187.784729
Uniform [0,1]
size,TMFG_Val,TMFG_elapsed,TMFGT1_Val,TMFGT1_elapsed,TMFGT2_K4_Val,TMFGT2_K4_elapsed,PMFG_Val,PMFG_elapsed,UpperBound
200,991.211697,0.135223,994.477163,0.847339,996.525929,0.494121,880.391748,17.253178,1154.438042
Corr with 20 factors
size,TMFG_Val,TMFG_elapsed,TMFGT1_Val,TMFGT1_elapsed,TMFGT2_K4_Val,TMFGT2_K4_elapsed,PMFG_Val,PMFG_elapsed,UpperBound
200,215.668895,0.150005,216.820878,0.877839,216.950851,0.456840,217.337364,18.172585,285.312166
Corr with 50 factors
size,TMFG_Val,TMFG_elapsed,TMFGT1_Val,TMFGT1_elapsed,TMFGT2_K4_Val,TMFGT2_K4_elapsed,PMFG_Val,PMFG_elapsed,UpperBound
200,80.488941,0.164304,81.547607,0.871104,81.826735,0.465150,83.802929,17.208343,119.675155
Corr with 100 factors
size,TMFG_Val,TMFG_elapsed,TMFGT1_Val,TMFGT1_elapsed,TMFGT2_K4_Val,TMFGT2_K4_elapsed,PMFG_Val,PMFG_elapsed,UpperBound
200,39.209116,0.148291,39.818896,0.848130,40.022029,0.506392,40.325889,18.464781,58.622147
