Graph,TMFG,Face edge,Optimal
graph-0,3349,3459,3498
graph-1,3430,3477,3477
graph-2,3036,3199,3199
graph-3,3186,3353,3353
graph-4,3377,3595,3595
graph-5,3011,3059,3110
graph-6,3079,3231,3231
graph-7,2998,3099,3099
graph-8,3852,3957,3957
graph-9,2868,2939,2939
graph-10,3396,3477,3477
graph-11,3577,3708,3708
graph-12,3245,3327,3346
graph-13,3334,3349,3349
graph-14,2684,2805,2805
graph-15,3238,3290,3290
graph-16,3392,3506,3506
graph-17,3382,3410,3412
graph-18,3403,3433,3433
graph-19,3485,3638,3638
graph-20,3330,3458,3458
graph-21,3125,3141,3142
graph-22,3428,3498,3498
graph-23,3691,3730,3730
graph-24,3011,3170,3170
graph-25,3222,3280,3280
graph-26,3695,3798,3798
graph-27,3181,3207,3207
graph-28,3345,3478,3478
graph-29,3300,3451,3451
graph-30,3092,3154,3160
graph-31,3182,3377,3377
graph-32,3251,3267,3305
graph-33,3205,3252,3252
graph-34,3476,3488,3489
graph-35,3340,3492,3492
graph-36,3400,3475,3475
graph-37,3255,3346,3346
graph-38,2838,3084,3084
graph-39,3383,3502,3502
graph-40,2919,3005,3005
graph-41,2726,2832,2832
graph-42,3248,3283,3283
graph-43,3267,3350,3350
graph-44,3161,3241,3241
graph-45,3284,3391,3391
graph-46,3150,3278,3278
graph-47,3132,3195,3211
graph-48,2779,2889,2889
graph-49,3449,3485,3485
graph-50,3058,3258,3258
graph-51,3435,3587,3587
graph-52,3026,3172,3172
graph-53,3412,3597,3597
graph-54,3238,3381,3381
graph-55,3437,3473,3473
graph-56,3241,3398,3398
graph-57,3616,3726,3726
graph-58,2707,2837,2837
graph-59,2355,2461,2474
graph-60,3407,3491,3491
graph-61,3285,3341,3355
graph-62,3418,3679,3679
graph-63,3217,3316,3316
graph-64,3328,3368,3368
graph-65,3388,3419,3419
graph-66,3146,3207,3207
graph-67,3370,3386,3386
graph-68,3236,3389,3389
graph-69,2953,3101,3101
graph-70,3362,3462,3462
graph-71,2923,3127,3127
graph-72,2921,3077,3077
graph-73,3502,3620,3620
graph-74,3607,3621,3621
graph-75,3235,3365,3386
graph-76,3075,3263,3263
graph-77,3152,3171,3174
graph-78,3299,3518,3518
graph-79,3223,3478,3478
graph-80,2929,3067,3091
graph-81,3028,3271,3271
graph-82,3301,3399,3399
graph-83,3269,3506,3506
graph-84,3090,3295,3295
graph-85,3071,3132,3132
graph-86,2888,3062,3077
graph-87,3444,3554,3554
graph-88,3243,3467,3467
graph-89,3199,3313,3313
graph-90,3516,3597,3597
graph-91,3367,3423,3423
graph-92,3040,3077,3077
graph-93,3646,3807,3807
graph-94,2769,2991,2991
graph-95,3695,3780,3780
graph-96,2827,2989,2989
graph-97,3093,3203,3215
graph-98,3467,3534,3542
graph-99,3001,3074,3074
graph-100,3463,3621,3621
graph-101,3845,3886,3886
graph-102,3178,3226,3226
graph-103,3128,3277,3277
graph-104,3361,3453,3453
graph-105,2944,3051,3051
graph-106,3005,3090,3090
